gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,CO Colorado,CO Ouray County 08091,9,Public Housing,2,A,Ouray County,8091,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,CO,-1,A,ouray co,-1,-1,-1,0,0
County,CO Colorado,CO Park County 08093,9,Public Housing,2,A,Park County,8093,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,CO,-1,A,park co,-1,-1,-1,0,0
County,CO Colorado,CO Phillips County 08095,9,Public Housing,2,A,Phillips County,8095,52.0,98,49,96,6.02384011420414,19,1.25686274509804,64.1,249.827450980392,288.196078431373,12728.1176470588,10126.895475819,6,34,35,12,12,30,2,68,30,88,63,0,9,55,9,47,5,24,4,31,25,40,6,10,2,4,0,4,2.74947368421053,40.0591503267974,2,400.0,89,2,9,2,11,12,68,A,A,A,-1,-1,CO,-1,A,phillips co,90,10,90,0,0
County,CO Colorado,CO Pitkin County 08097,9,Public Housing,2,A,Pitkin County,8097,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,CO,-1,A,pitkin co,-1,-1,-1,0,0
County,CO Colorado,CO Prowers County 08099,9,Public Housing,2,A,Prowers County,8099,46.0,89,41,100,6.84083333333333,22,1.75609756097561,72.0,242.853658536585,310.90243902439,12368.6097560976,7043.23611111111,10,39,27,5,20,23,5,72,27,90,76,10,10,51,10,60,44,33,2,41,17,39,5,34,0,0,0,34,5.2962962962963,42.8056910569106,34,25.0,78,10,12,5,19,28,57,A,A,A,-1,-1,CO,-1,A,prowers co,66,34,66,0,0
County,CO Colorado,CO Pueblo County 08101,9,Public Housing,2,A,Pueblo County,8101,901.0,97,874,100,4.98253757736514,14,2.46109839816934,2151.0,258.906178489703,375.0,13122.8169336384,5327.23245002325,4,44,23,14,15,32,9,59,26,94,70,10,46,78,50,33,38,15,7,51,13,28,3,62,4,0,0,58,11.2967741935484,60.1401220442409,73,97.9890965732087,38,24,38,3,21,50,59,A,A,A,-1,-1,CO,-1,A,pueblo co,38,62,38,0,0
County,CO Colorado,CO Rio Blanco County 08103,9,Public Housing,2,A,Rio Blanco County,8103,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,CO,-1,A,rio blanco co,-1,-1,-1,0,0
County,CO Colorado,CO Rio Grande County 08105,9,Public Housing,2,A,Rio Grande County,8105,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,CO,-1,A,rio grande co,-1,-1,-1,0,0
County,CO Colorado,CO Routt County 08107,9,Public Housing,2,A,Routt County,8107,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,CO,-1,A,routt co,-1,-1,-1,0,0
County,CO Colorado,CO Saguache County 08109,9,Public Housing,2,A,Saguache County,8109,30.0,100,30,100,5.48222222222222,10,2.83333333333333,85.0,278.333333333333,273.0,16437.4333333333,5801.44705882353,3,27,20,17,33,47,0,53,32,87,57,33,20,57,37,29,56,14,7,43,20,30,3,90,0,0,0,90,12.0,84.0555555555556,63,117.105263157895,33,27,40,3,23,70,46,A,A,A,-1,-1,CO,-1,A,saguache co,10,90,10,0,0
County,CO Colorado,CO San Juan County 08111,9,Public Housing,2,A,San Juan County,8111,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,CO,-1,A,san juan co,-1,-1,-1,0,0
County,CO Colorado,CO San Miguel County 08113,9,Public Housing,2,A,San Miguel County,8113,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,CO,-1,A,san miguel co,-1,-1,-1,0,0
County,CO Colorado,CO Sedgwick County 08115,9,Public Housing,2,A,Sedgwick County,8115,52.0,92,47,98,5.89078014184397,26,1.80851063829787,86.8085106382979,251.31914893617,329.0,14393.1276595745,7958.55294117647,9,30,26,9,28,48,0,52,32,81,53,6,19,53,17,6,13,6,13,40,13,34,6,4,0,0,0,4,21.375,44.6340425531915,0,-1.0,53,26,21,13,10,13,66,A,A,A,-1,-1,CO,-1,A,sedgwick co,96,4,96,0,0
County,CO Colorado,CO Summit County 08117,9,Public Housing,2,A,Summit County,8117,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,CO,-1,A,summit co,-1,-1,-1,0,0
County,CO Colorado,CO Teller County 08119,9,Public Housing,2,A,Teller County,8119,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,CO,-1,A,teller co,-1,-1,-1,0,0
County,CO Colorado,CO Washington County 08121,9,Public Housing,2,A,Washington County,8121,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,CO,-1,A,washington co,-1,-1,-1,0,0
County,CO Colorado,CO Weld County 08123,9,Public Housing,2,A,Weld County,8123,176.0,93,160,98,5.34538323045268,14,2.96050613496933,482.5625,268.562116564417,475.938650306748,12147.6476226994,4103.23338945732,22,28,18,14,19,36,7,57,21,98,71,4,57,75,54,13,30,6,4,57,9,30,3,59,8,0,1,50,12.007097933513,54.1040516359918,66,88.4766355140187,27,28,46,9,14,38,51,A,A,A,-1,-1,CO,-1,A,weld co,41,59,41,0,0
County,CO Colorado,CO Yuma County 08125,9,Public Housing,2,A,Yuma County,8125,90.0,99,89,100,6.29954191967615,15,1.29691011235955,115.425,278.064325842697,223.258426966292,13587.6651685393,10476.95213342,8,29,32,14,17,21,6,73,32,85,53,1,8,68,5,32,21,21,1,17,18,65,7,5,1,0,0,4,5.6591985428051,55.0998314606742,14,131.592519685039,78,17,5,6,13,14,65,A,A,A,-1,-1,CO,-1,A,yuma co,95,5,95,0,0
County,CO Colorado,CO Adams County 08001,9,Housing Choice Vouchers,3,A,Adams County,8001,2221.0,93,2136,100,4.89525144026623,7,2.64892850927166,5487.22118609762,279.667019175737,721.628185211782,11507.022376348,4344.02904271357,18,36,21,12,13,25,8,66,17,99,88,6,48,83,50,35,59,17,3,60,19,17,1,66,13,2,2,50,10.9184231981738,83.651600441409,96,111.040106030271,23,38,39,20,11,43,48,A,A,A,-1,-1,CO,-1,A,adams co,34,66,34,0,0
County,CO Colorado,CO Alamosa County 08003,9,Housing Choice Vouchers,3,A,Alamosa County,8003,78.0,96,75,99,5.40052910052911,7,2.21333333333334,167.606202441561,272.213333333334,444.240000000001,11403.4,5152.13855421687,19,31,20,16,15,47,10,44,24,97,64,3,52,76,49,35,83,19,13,53,25,8,0,55,0,0,0,55,7.45333333333333,67.9000000000001,75,73.9464285714286,16,43,41,27,24,55,49,A,A,A,-1,-1,CO,-1,A,alamosa co,45,55,45,0,0
County,CO Colorado,CO Arapahoe County 08005,9,Housing Choice Vouchers,3,A,Arapahoe County,8005,2687.0,96,3126,99,5.04419245719446,6,2.48881646482084,6456.88683600093,284.566817480311,722.826098676624,11205.6012769192,4502.38152764946,19,36,21,12,12,24,11,65,17,99,88,6,43,76,44,41,65,20,3,60,21,16,1,63,47,1,2,14,20.4263750945942,76.4723638821299,90,92.1152911522277,26,34,40,21,8,34,40,A,A,A,-1,-1,CO,-1,A,arapahoe co,37,63,37,0,0
County,CO Colorado,CO Archuleta County 08007,9,Housing Choice Vouchers,3,A,Archuleta County,8007,19.0,96,18,99,6.61296296296296,6,1.44444444444444,26.2515738763891,236.777777777778,507.333333333333,9307.33333333333,6443.53846153846,11,56,22,11,0,12,0,88,21,100,78,0,22,89,17,67,56,42,0,33,17,50,0,28,0,0,0,28,13.4,96.6740740740741,83,106.466666666667,50,39,11,17,11,14,55,A,A,A,-1,-1,CO,-1,A,archuleta co,72,28,72,0,0
County,CO Colorado,CO Baca County 08009,9,Housing Choice Vouchers,3,A,Baca County,8009,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,CO,-1,A,baca co,-1,-1,-1,0,0
County,CO Colorado,CO Bent County 08011,9,Housing Choice Vouchers,3,A,Bent County,8011,124.0,83,92,89,3.16399534558961,3,2.46895851620906,254.031415048757,241.209142724935,492.352894013963,9815.75030404237,3975.66432955457,21,39,24,11,5,22,4,74,20,99,86,18,34,77,47,43,100,24,8,59,20,14,0,59,2,0,0,56,6.55641025641026,74.7213936501802,65,181.02610360655,15,42,42,34,20,38,55,A,A,A,-1,-1,CO,-1,A,bent co,41,59,41,0,0
County,CO Colorado,CO Boulder County 08013,9,Housing Choice Vouchers,3,A,Boulder County,8013,1676.0,95,1534,96,5.21665627365318,3,2.08812866017459,3340.25235232769,288.803807013544,725.048595450092,12244.9156954164,5864.06188897987,14,36,22,14,13,19,9,72,17,99,90,4,34,75,34,53,51,28,4,51,20,25,3,34,3,2,1,28,11.0014155789361,91.6907770997889,80,108.864762199837,27,38,35,32,9,22,53,A,A,A,-1,-1,CO,-1,A,boulder co,66,34,66,0,0
County,CO Colorado,CO Chaffee County 08015,9,Housing Choice Vouchers,3,A,Chaffee County,8015,65.0,96,62,99,5.07241379310346,2,1.83870967741936,115.103054688783,304.45,429.266666666667,11850.0161290323,6444.74561403509,2,47,26,19,6,21,5,73,26,97,73,2,27,77,29,66,58,35,2,45,34,19,3,16,0,0,0,16,28.2666666666667,92.9951612903227,90,106.017857142857,24,47,29,40,13,13,55,A,A,A,-1,-1,CO,-1,A,chaffee co,84,16,84,0,0
County,CO Colorado,CO Cheyenne County 08017,9,Housing Choice Vouchers,3,A,Cheyenne County,8017,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,CO,-1,A,cheyenne co,-1,-1,-1,0,0
County,CO Colorado,CO Clear Creek County 08019,9,Housing Choice Vouchers,3,A,Clear Creek County,8019,10.0,96,10,99,4.97333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8963.41666666667,-4,-4,-4,-4,-4,-4,-4,-4,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,10,-4,-4,-4,-4,47.6666666666667,55.02,-4,-4.0,-4,-4,-4,-4,6,7,55,A,A,A,-1,-1,CO,-1,A,clear creek co,90,10,90,0,0
County,CO Colorado,CO Conejos County 08021,9,Housing Choice Vouchers,3,A,Conejos County,8021,14.0,96,13,99,6.0025641025641,0,3.07692307692308,40.3870367329063,314.615384615385,390.666666666667,14188.6153846154,4611.3,8,38,15,23,15,46,0,54,27,92,69,23,46,77,54,54,-1,23,0,77,23,0,0,69,0,0,0,69,-1.0,75.7358974358974,92,85.5833333333333,0,46,54,38,21,57,58,A,A,A,-1,-1,CO,-1,A,conejos co,31,69,31,0,0
County,CO Colorado,CO Costilla County 08023,9,Housing Choice Vouchers,3,A,Costilla County,8023,1.0,96,1,99,10.6333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8088.0,-4,-4,-4,-4,-4,-4,-4,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,122.2,-4,-4.0,-4,-4,-4,-4,26,57,55,A,A,A,-1,-1,CO,-1,A,costilla co,100,0,100,0,0
County,CO Colorado,CO Crowley County 08025,9,Housing Choice Vouchers,3,A,Crowley County,8025,22.0,96,21,99,6.40732748819203,14,2.85288197987668,60.5697218116458,260.236997651643,434.198161370693,10836.0907907961,3798.29620265767,14,38,33,5,10,24,0,76,21,100,81,19,38,81,57,50,80,25,5,48,24,24,0,24,0,0,0,24,12.3,45.7037372651923,95,129.780751035288,5,57,38,14,19,33,61,A,A,A,-1,-1,CO,-1,A,crowley co,76,24,76,0,0
County,CO Colorado,CO Custer County 08027,9,Housing Choice Vouchers,3,A,Custer County,8027,12.0,96,11,99,5.47,0,1.63636363636364,18.1741665298078,271.545454545455,488.0,9922.0,6063.44444444445,18,36,18,27,0,36,0,55,22,100,82,0,27,55,18,44,50,28,0,45,36,18,0,18,0,0,0,18,-1.0,44.7242424242424,100,171.272727272727,45,36,18,27,13,6,66,A,A,A,-1,-1,CO,-1,A,custer co,82,18,82,0,0
County,CO Colorado,CO Delta County 08029,9,Housing Choice Vouchers,3,A,Delta County,8029,233.0,100,231,99,5.02012065294989,22,1.86578784520247,434.854940407761,301.644205525574,390.984338080832,11725.5259401043,6284.49047422743,7,42,29,14,8,18,7,75,25,99,73,6,34,77,35,49,55,30,7,41,22,31,2,17,0,2,1,14,4.24248366013072,45.892540900792,90,122.689175729061,30,50,20,29,12,18,59,A,A,A,-1,-1,CO,-1,A,delta co,83,17,83,0,0
County,CO Colorado,CO Denver County 08031,9,Housing Choice Vouchers,3,A,Denver County,8031,7336.0,96,6747,96,5.03010819512089,8,2.4487199656151,17254.8115962798,269.222292463299,761.530562586367,10621.452596894,4337.55298524959,23,35,19,11,12,21,20,55,16,99,89,5,44,73,44,38,80,23,3,58,22,16,1,75,46,2,1,28,8.32108521021579,84.1070014503793,87,111.862505354039,30,32,37,18,16,59,42,A,A,A,-1,-1,CO,-1,A,denver co,25,75,25,0,0
County,CO Colorado,CO Dolores County 08033,9,Housing Choice Vouchers,3,A,Dolores County,8033,2.0,89,2,96,6.08333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3168.0,-4,-4,-4,-4,-4,-4,-4,-4,17,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,42.8333333333333,-4,-4.0,-4,-4,-4,-4,13,10,51,A,A,A,-1,-1,CO,-1,A,dolores co,100,0,100,0,0
County,CO Colorado,CO Douglas County 08035,9,Housing Choice Vouchers,3,A,Douglas County,8035,186.0,97,178,99,5.26900549029909,3,2.43233042015548,436.924704376339,305.217433189864,724.628599597671,11826.1330590976,4862.05860893753,15,34,27,12,12,23,10,64,18,98,86,3,47,84,48,37,65,18,2,58,21,19,1,26,11,1,2,14,23.18070693706,63.0663948335041,92,81.1441726206409,29,31,40,19,4,11,68,A,A,A,-1,-1,CO,-1,A,douglas co,74,26,74,0,0
County,CO Colorado,CO Eagle County 08037,9,Housing Choice Vouchers,3,A,Eagle County,8037,16.0,96,15,99,4.66428571428571,7,2.8,42.4063885695517,318.071428571429,847.357142857143,13317.4666666667,4756.2380952381,13,20,20,20,27,50,7,43,18,100,80,0,53,73,53,38,50,17,0,73,13,13,0,40,0,0,0,40,1.46666666666667,70.0155555555556,20,91.0,20,13,67,40,8,23,37,A,A,A,-1,-1,CO,-1,A,eagle co,60,40,60,0,0
County,CO Colorado,CO El Paso County 08041,9,Housing Choice Vouchers,3,A,El Paso County,8041,3027.0,98,3170,99,5.23625778739883,2,2.46979821485249,7359.00103294111,284.716030025074,629.612323258314,11601.3953092724,4697.30492131127,15,39,21,12,13,23,8,68,19,99,85,4,46,80,47,44,71,22,1,60,22,16,1,47,26,2,2,18,25.25350704444,81.2908448535188,89,120.801365658758,24,35,41,23,12,32,47,A,A,A,-1,-1,CO,-1,A,el paso co,53,47,53,0,0
County,CO Colorado,CO Elbert County 08039,9,Housing Choice Vouchers,3,A,Elbert County,8039,13.0,96,12,99,5.52727272727273,8,2.25,27.2612497947118,206.416666666667,732.0,9310.08333333333,4137.81481481481,33,17,33,8,8,17,25,58,15,100,92,8,50,100,58,25,25,11,8,42,17,33,0,8,0,0,0,8,17.6,47.4027777777778,75,136.111111111111,0,42,58,50,5,7,77,A,A,A,-1,-1,CO,-1,A,elbert co,92,8,92,0,0
County,CO Colorado,CO Fremont County 08043,9,Housing Choice Vouchers,3,A,Fremont County,8043,197.0,96,188,99,5.20079365079364,5,2.39893617021276,455.363839163519,266.166666666666,491.954022988505,11152.4734042553,4648.92461197339,9,46,23,15,7,16,8,73,23,99,78,6,37,78,40,63,71,29,1,57,23,19,2,13,2,1,0,11,26.337037037037,83.7845744680849,85,94.8993710691823,21,36,43,34,12,13,58,A,A,A,-1,-1,CO,-1,A,fremont co,87,13,87,0,0
County,CO Colorado,CO Garfield County 08045,9,Housing Choice Vouchers,3,A,Garfield County,8045,442.0,91,375,93,4.44327681932337,5,2.22667353218856,899.594063325582,340.06781782119,665.849443040935,13357.8993185415,5999.0380832399,12,30,26,14,18,27,14,59,21,98,78,7,42,75,43,35,49,19,5,50,19,26,3,22,1,3,1,18,14.1416666666667,53.3856051291165,79,96.4821101877244,24,39,38,29,7,17,47,A,A,A,-1,-1,CO,-1,A,garfield co,78,22,78,0,0
County,CO Colorado,CO Gilpin County 08047,9,Housing Choice Vouchers,3,A,Gilpin County,8047,19.0,96,18,99,6.07719040940734,6,2.11174481607994,38.3573254509391,332.813887645963,619.494011488045,14242.9139406839,6744.61887261703,6,28,17,22,28,33,6,61,23,100,72,0,44,61,44,50,100,26,17,39,33,11,0,6,0,0,0,6,35.8666666666667,37.8181882365516,100,119.668187558592,39,56,6,0,4,8,76,A,A,A,-1,-1,CO,-1,A,gilpin co,94,6,94,0,0
County,CO Colorado,CO Grand County 08049,9,Housing Choice Vouchers,3,A,Grand County,8049,47.0,96,45,99,4.55116279069768,4,2.42222222222222,110.05467509717,248.790697674419,648.046511627908,10176.6666666667,4201.37614678899,24,27,29,13,7,23,5,72,17,98,93,2,53,73,49,45,67,22,4,58,31,7,0,2,0,0,0,2,22.0666666666667,63.4170370370371,71,102.0,24,36,40,20,7,8,54,A,A,A,-1,-1,CO,-1,A,grand co,98,2,98,0,0
County,CO Colorado,CO Gunnison County 08051,9,Housing Choice Vouchers,3,A,Gunnison County,8051,41.0,96,39,99,5.82592592592593,10,2.15384615384616,84.8127771391033,280.307692307692,582.589743589744,12028.4358974359,5584.63095238096,13,26,33,13,15,36,15,49,23,95,77,5,38,72,41,33,50,19,3,62,21,15,0,15,0,0,0,15,8.31666666666667,39.431623931624,82,114.4375,28,41,31,23,19,9,39,A,A,A,-1,-1,CO,-1,A,gunnison co,85,15,85,0,0
County,CO Colorado,CO Hinsdale County 08053,9,Housing Choice Vouchers,3,A,Hinsdale County,8053,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,CO,-1,A,hinsdale co,-1,-1,-1,0,0
County,CO Colorado,CO Huerfano County 08055,9,Housing Choice Vouchers,3,A,Huerfano County,8055,39.0,96,37,99,6.30833333333334,14,2.05405405405406,76.735369792522,272.405405405406,380.162162162163,11055.7567567568,5382.40789473684,14,43,22,14,8,43,3,54,23,100,78,5,38,78,41,39,67,21,3,59,22,16,0,78,3,3,0,73,4.23333333333333,54.3018018018019,97,115.638888888889,11,54,35,49,21,58,58,A,A,A,-1,-1,CO,-1,A,huerfano co,22,78,22,0,0
County,CO Colorado,CO Jackson County 08057,9,Housing Choice Vouchers,3,A,Jackson County,8057,4.0,96,4,99,5.7,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3457.2,-4,-4,-4,-4,-4,-4,-4,-4,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,2.5,42.775,-4,-4.0,-4,-4,-4,-4,14,9,49,A,A,A,-1,-1,CO,-1,A,jackson co,100,0,100,0,0
County,CO Colorado,CO Jefferson County 08059,9,Housing Choice Vouchers,3,A,Jefferson County,8059,3897.0,93,3596,100,5.27371757299071,8,2.17611624024472,7850.41127738685,320.547883512165,663.41895404589,12718.0263311933,5844.36901668593,12,34,23,15,15,22,6,71,20,99,83,4,39,78,39,48,32,23,3,51,21,25,2,42,5,2,2,33,12.8434608008624,75.918179249374,89,111.253696446649,29,41,30,22,10,23,42,A,A,A,-1,-1,CO,-1,A,jefferson co,58,42,58,0,0
County,CO Colorado,CO Kiowa County 08061,9,Housing Choice Vouchers,3,A,Kiowa County,8061,1.0,96,1,99,4.03333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8328.0,-4,-4,-4,-4,-4,-4,-4,-4,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,245.566666666667,-4,-4.0,-4,-4,-4,-4,12,6,57,A,A,A,-1,-1,CO,-1,A,kiowa co,100,0,100,0,0
County,CO Colorado,CO Kit Carson County 08063,9,Housing Choice Vouchers,3,A,Kit Carson County,8063,19.0,96,18,99,7.15925925925926,44,1.88888888888889,34.3289812229704,329.0,252.411764705882,14017.8333333333,7421.20588235294,0,39,22,17,22,44,0,56,30,100,61,0,39,78,39,40,67,26,11,67,6,17,0,6,0,0,0,6,6.44166666666667,46.8907407407407,67,110.75,17,39,44,50,12,20,60,A,A,A,-1,-1,CO,-1,A,kit carson co,94,6,94,0,0
County,CO Colorado,CO La Plata County 08067,9,Housing Choice Vouchers,3,A,Plata County,8067,213.0,96,203,99,5.87555222986749,5,2.02071249136672,414.725228554224,260.830845784693,620.980340536894,10665.0781070783,5277.88003124823,15,43,22,9,11,22,7,70,19,100,84,3,32,72,33,65,83,35,1,56,28,15,0,32,1,5,0,28,28.1484122282493,76.9992018729004,76,90.8382285844088,32,32,37,28,14,17,47,A,A,A,-1,-1,CO,-1,A,plata co,68,32,68,0,0
County,CO Colorado,CO Lake County 08065,9,Housing Choice Vouchers,3,A,Lake County,8065,30.0,96,29,99,4.19259259259259,10,2.41379310344828,70.6773142825861,269.793103448276,635.103448275863,11435.6206896552,4737.61428571429,10,38,28,21,3,28,7,62,23,100,69,3,52,83,52,44,100,21,3,66,24,7,0,38,0,0,3,34,7.87777777777778,51.5103448275862,83,106.541666666667,24,21,55,34,13,35,54,A,A,A,-1,-1,CO,-1,A,lake co,62,38,62,0,0
County,CO Colorado,CO Larimer County 08069,9,Housing Choice Vouchers,3,A,Larimer County,8069,1874.0,96,1798,99,4.47534980023214,9,2.11923732709876,3803.80804490699,282.791663865792,641.296244724665,11513.6215994468,5432.90808076177,15,39,22,13,12,21,8,70,19,99,85,4,35,71,34,57,60,30,3,52,27,17,1,24,3,3,1,19,12.5476786660878,73.4557735142147,79,101.800614553614,21,44,35,35,12,14,50,A,A,A,-1,-1,CO,-1,A,larimer co,76,24,76,0,0
County,CO Colorado,CO Las Animas County 08071,9,Housing Choice Vouchers,3,A,Las Animas County,8071,86.0,81,64,91,6.65376009025362,5,1.89274226194293,132.546900394602,284.829131011902,458.139149941924,9922.78215327132,5242.54271317714,19,48,20,6,6,27,16,58,22,95,83,2,38,78,38,46,60,26,3,52,30,16,0,67,2,0,0,67,12.7222222222222,52.6292521347183,91,163.540925203799,47,36,17,6,16,46,60,A,A,A,-1,-1,CO,-1,A,las animas co,33,67,33,0,0
County,CO Colorado,CO Lincoln County 08073,9,Housing Choice Vouchers,3,A,Lincoln County,8073,27.0,96,26,99,5.42777777777778,15,2.80769230769231,73.7063420375541,322.653846153846,399.0,13597.7307692308,4843.02739726027,15,19,27,19,19,31,15,50,27,88,62,8,58,88,58,16,57,11,8,46,19,27,0,8,0,0,0,8,9.64166666666667,61.6153846153847,73,160.052631578947,8,35,58,38,11,18,57,A,A,A,-1,-1,CO,-1,A,lincoln co,92,8,92,0,0
